quotation	type	source	translation	notes
Et vitam impendere vero.			And in the cause of truth to lay down life.	
Falsa grammatica non vitiat concessionem.		edward coke	Bad grammar does not vitiate a grant.	See Mala Grammatica, &c.
Felicitas nutrix est iracundiae.	proverb		Prosperity is the nurse of anger.	Men who have been successful are apt to forget themselves.
Feliciter is sapit, qui periculo alieno sapit.			He is happy in his wisdom, who is wise at the expense of another.	From the interpolated Scene in the Mercator of Plautus, supposed to have been written by Hermolaüs Barbarus.
Falso damnati crimine mortis.		virgilius	On a false charge condemned to die.	
Felix est cui quantulumcunque temporis contigit, bene collocatum est.		seneca	Happy is he who has well employed his time, however short it may have been.	
Falsus honor juvat, et mendax infamia terret, Quem nisi mendosum et mendacem?		horatius	Whom, but the vicious and the liar, does misplaced praise delight, or lying slanders alarm?	
Felix quem faciunt aliena pericula cautum.			Happy is he whom the perils of others put on his guard.	
Fama, malum quo non aliud velocius ullum, Mobilitate viget, viresque acquirit eundo.		virgilius	Rumour, than which no pest is more swift, increases by motion, and gains strength as she goes.	
Fama nihil est celerius.		livius	Nothing travels more swiftly than scandal.	
Felix quem faciunt aliorum cornua cautum.		owen [epigr.]	Happy the man whom the horns of others make wary.	
Famae damna majora sunt, quam quae aestimdri possint.		livius	The loss of reputation is greater than can be possibly conceived.	
Felix qui nihil debet.	proverb		Happy is he who owes nothing.	
Felix qui potuit rerum cognoscere causas.		virgilius	Happy is he who can trace the causes of things.	A compliment to the philosopher, who centres his pleasure in that which is for the benefit or instruction of mankind.
Formosa facies muta commendatio est.		publilius syrus	A handsome face is a silent recommendation.	
Felix quicunque dolore Alterius disces posse carere tuo.		tibullus	Happy you, who can, by the pain of another, learn to avoid it yourself.	
Famae laboranti non facile succurritur.	proverb		It is not easy to repair a character when falling.	It is not easy to recover a lost character.
Formosos saepe inveni pessimos, Et turpi facie multos cognovi optimos.		phaedrus	I have often found the good-looking to be very knaves, and I have known many with ugly features most worthy men.	
Famam extendere factis.		virgilius	To extend our fame by our deeds.	The motto of Linnaeus.
Felo de se.	law latin		A felon of himself.	One who, being, in legal estimation, of sound mind, slays himself. One who commits felony by suicide.
Fames est optimus coquus.	proverb		Hunger is the best cook.	
Ferae naturae.			Of a wild nature.	"This term is applied to animals of a savage nature, in contradistinction to those, which are under the control of man, and are called domitae naturae, ""of a tame nature."""
Fames et mora bilem in nasum conciunt.	proverb		Hunger and delay summon the bile to the nostrils,	"i.e. ""excite our wrath."""
Feras, non culpes, quod mutari non potest.		publilius syrus	You must endure, not blame, that which cannot be altered.	What cannot be cured must be endured.
Forsan et haec olim meminisse juvabit; Durate, et vosmet rebus servate secundis.		virgilius	Perhaps it may one day be a pleasure to remember these sufferings; bear up against them, and reserve yourselves for more prosperous fortunes.	
Fames optimum condimentum.	proverb		Hunger is the best sauce.	
Feras quod laedit, ut id quod prodest perferas.		publilius syrus	You must bear that which hurts, that you may gain that which profits.	
Forsan miseros meliora sequentur.		virgilius	Perhaps better fortunes await us wretched men.	
Fere libenter homines id quod volunt credunt.		caesar	Men generally are willing to believe what they wish to be true.	"Like our saying, ""The wish is father to the thought."""
Forsitan hic aliquis dicat, Quae publica tangunt Carpere concessum est; hoc via juris habet.		ovidius	Perhaps some one here may say, 'What encroaches on the highway it is allowable to take; this right the road confers.'	
Ferre pulcherrime secundam fortunam et aeque adversam.		cicero	To bear with equal gracefulness good fortune or bad.	
Fortem facit vicina libertas senem.		seneca	The prospect of liberty makes even an old man brave.	
Fames, pestis, et bellum, populi sunt pernicies.			Famine, pestilence, and war, are the scourges of mankind.	
Ferreus assiduo consumitur annulus usu.		ovidius	By continued use a ring of iron is consumed.	
Fortem posce animum.		iunius iuvenalis	Pray for strong resolve.	The motto of Lord Say and Sele.
Familiare est hominibus omnia sibi ignoscere.			It is usual with man to forgive all his own faults.	A man is an indulgent censor to himself.
Fertilior seges est alienis semper in agris, Vicinumque pecus grandius uber habet.		ovidius	The crop is ever more fruitful in our neighbour's fields, and his cows have more distended udders than our own.	It is the nature of man to repine at his own lot, and to envy that of another.
Farrago libelli.		iunius iuvenalis	The medley of my book.	"The ""something of everything"" there to be found."
Fas est et ab hoste doceri.		ovidius	It is right to be taught by an enemy even.	We may profit from the oversights of our adversaries, by learning to avoid them.
Ferto, fereris.			Bear, and you shall be borne with.	"Learn to ""give and take."""
Fastidientis est stomachi multa degustare.		seneca	To taste of many dishes is a sign of a delicate stomach.	
Fervens difficili bile tumet jecur.		horatius	My inflamed liver swells with bile, difficult to be repressed.	
Fervet avaritia miseroque cupidine pectus?		horatius	Does your heart burn with avarice, and the direful greed for gain?	
Fervet olla, vivit amicitia.	proverb		While the pot boils, friendship endures.	
Fortem posce animum, mortis terrore carentem, Qui spatium vitae extremum inter munera ponat, Naturae.		iunius iuvenalis	Pray for strong resolve, void of the fear of death, that reckons the closing hour of life among the boons of nature.	
Festina lente.			Hasten slowly.	Be on your guard against impetuosity. A favourite saying of the emperors Augustus and Titus. It forms the punning motto of tho Onslow family.
Fortes creantur fortibus et bonis; Est in juvencis, est in equis patrum Virtus, nee imbellem feroces Progenerant aquilae columbam.		horatius	The brave are generated by the brave and good: there is in steers and in horses the virtue of their sires, nor does the warlike eagle beget the peaceful dove.	
Fortes fortuna adjuvat.		terentius	Fortune favours the bold.	These words were quoted by the elder Pliny shortly before he perished, in the eruption of Mount Vesuvius, a victim to his thirst for knowledge.
Festinare nocet, nocet et cunctatio saepe; Tempore quaeque suo qui facit, ille sapit.			It is bad to be in a hurry, and delay is often as bad; he is wise who does everything at its proper time.	
Festinat decurrere velox Flosculus, angustae, miseraeque brevissima vitae Portio; dum bibimus, dum serta, unguenta, puellas Poscimus, obrepit non intellecta senectus.		iunius iuvenalis	The short-lived flower, the limited span of our fleeting and wretched existence, hastens to decay; whilst we are drinking, calling for garlands, perfumes, and women, old age steals upon us unperceived.	We learn from Ovid that wine and women, unguents and garlands, all played their part in the feasts of the sensualists of Rome.
Fortior et potentior est dispositio legis quam hominis.	law maxim		The control of the law is stronger and more powerful than that of man.	
Fortis cadere, cedere non potest.			The brave may fall, but will never yield.	A play upon the resemblance of the words cadere and cedere.
Festinatio tarda est.	proverb		Haste is slow.	"Real despatch is insured by prudence and caution: for a thing is done ""sat cito si sat bene,"" ""quick enough if well enough."""
Fortis et constantis animi est, non perturbari in rebus asperis.		cicero	It is the proof of a brave and resolute spirit, not to be daunted in adversity.	
Festo die si quid prodegeris Profesto egere liceat, nisi peperceris.		plautus	If you are guilty of any extravagance on a feast day, you may be wanting on a common day, unless you are frugal.	
Fortissimus ille est Qui promptus metuenda pati, si cominus instent.		lucanus	He is the bravest, who is prepared to encounter danger on the instant.	
Fortiter ferendo vincitur malum quod evitari non potest.	proverb		By bravely enduring it, an evil which cannot be avoided is overcome.	
Fiat.			Let it be done.	"So be it."" An order or assent given by one in authority."
Fortitudo in laboribus periculisque cernitur: temperantia in praetermittendis voluptatibus: prudentia in delectu bonorum et malorum: justitia in suo cuique tribuendo.		cicero	Fortitude is to be seen in the endurance of toils and dangers; temperance, in a self-denial of luxuries; prudence, in a choice between good and evil; justice, in rendering to every one his due.	
Fiat experimentum in corpore vili.			Let the experiment be made on a worthless body.	
Fortius e multis mater desiderat unum; Quam quae flens clamat, Tu mihi solus eras.		ovidius	With greater fortitude does a mother bewail one out of many, than she who, weeping, exclaims, 'Thou wast my only one.'	
Fiat justitia, ruat coelum.			Let justice be done, though heaven should fall.	Said of a decision formed at all hazards.
Fortuna favet fatuis.			Fortune favours fools.	
Fiat lux.			Let there be light.	Gen. i. 3.
Fortuna humana fingit artatque ut lubet.		plautus	Fortune moulds and fashions human affairs just as she pleases.	
Fiat mixtura secundum artem.			Let the mixture be made according to the rules of art.	Often placed at the end of medical prescriptions.
Fortuna magna magna domino est servitus.		publilius syrus	A great fortune is a great slavery to its owner.	He who has immense wealth, is troubled with cares unknown to others.
Ficos dividere.	proverb		To split figs.	"Said of persons who would, as we say, ""flay a flint."""
Fortuna multis dat nimium, nulli satis.		marcus valerius martialis	Fortune gives to many too much, to none enough.	
Ficta voluptatis causa sit proxima veris.		horatius	Let whatever is devised for the sake of entertainment have as much resemblance as possible to truth.	
Fortuna nimium quem fovet, stultum facit.		publilius syrus	Fortune makes a fool of the man whom she favours too much.	
Fictis meminerit nos jocari fabulis.		phaedrus	Let it be remembered that we are amusing you with tales of fiction.	
Fortuna non mutat genus.		horatius	Fortune does not change our nature.	What's bred in the bone won't out of the flesh.
Ficum cupit.	proverb		He wants some figs.	"He is paying me so much attention to suit his own purposes."" The Athenian fashionables were in the habit of visiting the cottages of the peasants, on the approach of the fig season, and treating them with great courtesy, that they might obtain the choicest of the fruit when it came to maturity."
Fortuna obesse nulli contenta est semel.		publilius syrus	Fortune is not content to do a man but one ill turn.	Misfortunes never come single.
Fortuna opes auferre, non animum potest.		seneca	Fortune may deprive us of wealth, but not of courage.	"""I care not, Fortune, what you me deny; Of fancy, reason, virtue nought can me bereave."" Thomson."
Ficus ficus, ligonem ligonem vocat.	proverb		He calls a fig a fig, a spade a spade.	He is a plain, straightforward man, one who speaks his mind.
Fortuna parvis momentis magnas rerum commutationes efficit.			Fortune, in a short moment, effects vast changes in worldly affairs.	The fate of a kingdom often depends upon the act of a moment.
Fortuna saevo laeta negotio, et Ludum insolentem ludere pertinax, Transmutat incertos honores, Nunc mihi, nunc alii benigna.		horatius	Fortune, delighting in her cruel pursuit, and persisting in playing her insolent game, shifts her uncertain honours, indulgent now to me, now to another.	
Fide abrogata, omnis humana societas tollitur.		livius	Good faith abolished, all human society is destroyed.	
Fortuna vitrea est, tum cum splendet frangitur.		publilius syrus	Fortune is like glass — while she shines she breaks.	She has its splendour with its brittleness.
Fidelius rident tuguria.	proverb		The laughter of the cottage is the most hearty.	Because the laughers are free from care.
Fortunae caetera mando.		ovidius	I confide the rest to fortune.	I have taken all measures to ensure success, the rest remains in the hand of God.
Fastus inest pulchris, sequiturque superbia formam; Irrisum vultu despicit illa suo.		ovidius	Cold disdain is innate in the fair, and haughtiness accompanies beauty. By her looks she despises and she scorns him.	
Fidem qui perdit perdere ultra nil potest.		publilius syrus	He who loses his good faith has nothing else to lose.	Integrity and honour are the most valuable inheritance.
Fortunae filius.		horatius	A son of fortune.	A favourite child of fortune; one of a number that are very often spoiled.
Fata obstant.			The Fates are opposed.	It is not his destiny.
Fortunae majoris honos, erectus et acer.		claudianus	An honour to his elevated station, upright and brave.	
Fata volentem ducunt, nolentem trahunt.			The Fates lead him who is willing, and drag him who is unwilling.	A maxim of the believers in predestination, that it is as well to be resigned to our fate.
Fortunae verba dedique meae.		ovidius	And I have deceived my destiny.	
Fatetur facinus is qui judicium fugit.	law maxim		He who flies from trial confesses his guilt.	At all events, his conduct is prima facie evidence against him.
Fortunam reverenter habe, quicunque repente Dives ab exili progrediere loco.		ausonius	Behave with all respect to fortune, you who have suddenly risen to wealth from narrow circumstances.	
Fortunato omne solum patria est.			To him who is fortunate every land is his country.	
Fidem qui perdit, quo se servat in reliquum?		publilius syrus	He who has lost his credit, with what shall he sustain himself in future?	
Fortunatus et ille deos qui novit agrestes.		virgilius	Happy the man who makes acquaintance with the rural gods.	Such a man knows the health and pleasures of a country life.
Fatigatis humus cubile est.		curtius	To the weary the earth is a bed.	
Fides servanda est.		plautus	Faith must be kept.	
Fragili quaerens illidere dentem Offendet solido.		horatius	Trying to fix her tooth in some tender part, Envy will strike it against the solid.	In allusion to the Fable of the Serpent and the File.
Fatis accede Deisque, Et cole felices, miseros fuge. Sidera coelo Ut distant, flamma mari, sic utile recto.		lucanus	Welcome the Fates and the Gods, caress the fortunate, and shun the wretched. As much as the stars are distant in the heavens, as much as flame differs from the sea, so much does the expedient differ from the right.	
Fides sit penes auctorem.			Let due faith be given to the author.	A phrase used by a writer when quoting from a doubtful authority.
Frangas, non flectes.			You may break, you shall not bend, me.	Motto of the Duke of Sutherland and Earl Granville.
Favete linguis.		ovidius	Favour by your tongues,	"or, ""Be propitious in your language."" This was an usual injunction with the Romans at their sacrifices, as a word of ill-omen spoken during their celebration was considered to have an evil influence."
Fieri curavit.			Caused this to be done.	Often represented in monumental inscriptions by the initial letters F. C.
Frange, miser, calamos, vigilataque praelia dele, Qui facis in parva sublimia carmina cella, Ut dignus venias hederis, et imagine macra.		iunius iuvenalis	Break your pens, poor wretch! Blot out your battles that have kept you watching, you that write sublime poetry in your narrow room, that you may come forth worthy of an ivy crown and a meagre statue.	
Fecundi calices quem non fecere disertum?		horatius	Whom have not flowing cups made eloquent?	
Fieri facias.	law latin		Cause it to be done.	A writ by which the sheriff is commanded to levy the debt, or damages, on the defendant's goods. Sometimes called, for brevity, a fi fa.
Fraudare eos qui sciunt et consentiunt nemo videtur.	law maxim		It is not deemed that a fraud is committed upon those who are aware of the act and consent to it.	
Felices errore sito.		lucanus	Happy in their error.	"Where ignorance is bliss, 'tis folly to be wise."" Gray."
Figulus figulo invidet, faber fabro.	proverb		The potter envies the potter, the blacksmith the blacksmith.	"So we say, ""Two of a trade never agree."""
Fraus est celare fraudem.	law maxim		It is a fraud to conceal fraud.	By doing so a person becomes in the eye of the law an accomplice.
Filli non plus possessionum quam morborum haeredes sumus.			As sons we are heirs, no less to diseases than to possessions.	
Frigidam aquam effundere.			To throw cold water on a matter.	To discourage an undertaking, by damping the enthusiasm of the projector. To poo-pooh a thing as impracticable or unprofitable.
Filius nullius.			The son of no man.	A bastard is so called, for he has no legal rights as a son, in respect to the inheritance of property.
Frigora mitescunt Zephyris; ver proterit aestas Interitura, simul Pomifer autumnus fruges effuderit; et mox Bruma recurrit iners.		horatius	The colds are mitigated by the Zephyrs; the summer follows close upon the spring; shortly to die itself, as soon as the fruit-bearing autumn shall have poured forth her fruits; and then anon sluggish winter returns again.	
Filum aquae.			The thread of the stream.	An imaginary line in the middle of a river, which is supposed to be the boundary of the lordships or manors on either side.
Frons, oculi, vultus persaepe mentiuntur: oratio vero saepissime.		cicero	The forehead, eyes, and features often deceive; still oftener the speech.	"It is a maxim of Machiavellian policy that ""the use of speech is to conceal the thoughts."""
Fronti nulla fides.		iunius iuvenalis	There is no trusting the features.	Judge not from outward appearances.
Fructu non foliis arborem aestima.		phaedrus	Judge of a tree from its fruit, not from its leaves.	
Finge datos currus; quid agas?		ovidius	Suppose the chariot were given to you; what would you do?	The question put by Apollo, when Phaëton asks him for the loan of the chariot of the Sun. The same question may be asked of one who aspires to an office which he is unfit to fill.
Furor loquendi.				or scribendi. See Cacoethes, &c.
Fingebat tremula rustica liba manu.		ovidius	She made her rustic cakes with trembling hand.	
Futura expectans presentibus angor.			While awaiting the future I am tormented by the present.	The situation of a man in present difficulties, but with good prospects.
Fingit equum tenera docilem cervice magister Ire viam quam monstrat eques.		horatius	The trainer teaches the docile horse to turn, with tractable neck, whichever way the rider directs it.	
Galeatum sero duelli Poenitet.		iunius iuvenalis	Having put on your helmet, it is late to repent of becoming a warrior.	Good advice to a soldier before he takes the fatal shilling. See Gladiator, &c.
Fruges consumere nati.		horatius	Born only to consume the fruits of the earth.	Alluding to persons who pass their lives in eating and drinking, but are comparatively useless to society.
Finis coronat opus.	proverb		The end crowns the work.	"A work cannot be appreciated until it is completed. The words are also capable of meaning the same as our saying, ""The end sanctifies the means."""
Gallus in suo sterquilinio plurimum potest.		seneca	Every cock is master of his own dunghill.	
Garrit aniles Ex re fabellas.		horatius	He relates old women's tales very much to the purpose.	
Fistula dulce canit volucres dum decipit auceps; Impia sub dulci melle venena latent.		ovidius	The pipe sounds sweetly, while the fowler is decoying the birds; beneath the sweet honey deadly poisons lie concealed.	
Gaude, Maria Virgo.			Rejoice, Virgin Mary.	The beginning of an anthem chaunted by the monks of the Romish Church at nightfall; from which that particular period of time obtained the name of the Godemarre.
Fit cito per multas praeda petita manus.		ovidius	The prey that is sought by many hands speedily accumulates.	
Frustra fit per plura, quod fieri potest per pauciora.			It is useless to do by many, that which may be done by a few.	"The chances are that they will be in each other's way. ""Too many cooks spoil the broth."""
Gaudent praenomine molles Auriculae.		horatius	Delicate ears are tickled with a title.	
Frustra Herculi.	proverb		It is in vain you speak against Hercules.	Applied to those who speak ill of persons really above reproach.
Gaudet equis, canibusque, et aprici gramine campi.		horatius	He delights in horses, and dogs, and the grass of the sunuy plain.	
Frustra laborat qui omnibus placere studet.	proverb		He labours in vain who tries to please everybody.	The Fable of the Old Man and the Ass teaches the same lesson.
Gaudetque viam fecisse ruina.		lucanus	He rejoices at having made his way by ruin.	Said by Lucan of Julius Caesar, against whom he manifests a most bitter prejudice.
Fit erranti medicina confessio.		cicero	Confession is as medicine to him who has erred.	"Confess your faults one to another,"" says the apostle, James v. 16."
Frustra retinacula tendens Fertur equis auriga, neque audit currus habenas.		virgilius	In vain as he pulls the reins, is the charioteer borne along by the steeds; they no longer heed his control.	
Genius loci.			The Genius	"or ""presiding spirit, of the place."""
Fit fabricando faber.	proverb		To become a blacksmith you must work at the forge.	
Frustra vitium vitaveris illud, Si te alio pravus detorseris.		horatius	In vain do you avoid one vice, if in your depravity you plunge into another.	
Genus humanum multo fuit illud in arvis Durius.		lucretius	The human race was then far more hardy in the fields.	
Fit in dominatu servitus, in servitute dominatus.		cicero	He who should be the master, sometimes becomes the servant, he who should be the servant, the master.	
Fucum facere.			To give a false colour to a thing.	
Genus immortale manet, multosque per annos Stat fortuna domus, et avi numerantur avorum.		virgilius	The race continues immortal; throughout many years, the fortunes of the house still flourish, and grandsires of grandsires are to be numbered.	A picture of a thriving community.
Fugam fecit.	law term		He has taken to flight.	Said of a person who has fled from trial.
Genus irritabile vatum.		horatius	The sensitive race of poets.	Who are peculiarly tenacious of their literary fame.
Fuge magna; licet sub paupere tecto Reges et regum vita praecurrere amicos.		horatius	Avoid an elevated station; under a poor roof one may surpass even kings and the friends of kings in what is really life.	
Gladiator in arena consilium capit.	proverb		The gladiator, having entered the lists, is taking advice.	Said of a man taking counsel at a moment at which it is probably too late to use it. See Galeatum, &c.
Gloria est consentiens laus bonorum, incorrupta vox bene judicantium de excellenti virtute.		cicero	Glory is the unanimous praise of the good, the unbought voice of those who can well discriminate as to surpassing virtue.	
Gloria Patri.			Glory be to the Father.	
Gloria virtutem tanquam umbra sequitur.		cicero	Glory follows virtue, as though it were its shadow.	
Gloriae et famae jactura facienda est, publicae utilitatis causa.		cicero	A sacrifice must be made of glory and fame for the public advantage.	
Fugere est triumphus.			Flight is a triumph.	Said in the case of flight from temptation.
Gnatum pariter uti his decuit, aut etiam amplius, Quod illa aetas magis ad haec utenda idonea est.		terentius	Your son ought to have enjoyed these good things equally with you, or even more so, because his age is better suited for such enjoyments.	
Graecia capta ferum victorem cepit, et artes Intulit agresti Latio.		horatius	Greece, subdued, captivated her uncivilized conqueror, and imported her arts into unpolished Latium.	
Graecorum animi servitute ac miseria fracti sunt.		livius	The minds of the Greeks are broken down by slavery and wretchedness.	The historian speaks of the time when Greece had succumbed to the Roman arms.
Graeculus esuriens ad coelum jusseris ibit.		iunius iuvenalis	The hungry wretch of a Greek would attempt heaven even, were you to bid him.	"So the English line, ""Bid him go to hell, to hell he goes."" Said of the wretched sycophants who, in its degenerate days, left Greece, the country of their birth, to fawn on the great men of Rome."
Grammatici certant, et adhuc sub judice lis est.		horatius	The grammarians disagree, and the matter in dispute is still undetermined.	
Gram. loquitur; Dia. vera docet; Rhe. verba colorat; Mu. canit; Ar. numerat; Geo. ponderat; As. docet astra.			Grammar speaks correctly; Dialectics (Logic) teach us truth; Rhetoric gives colouring to our speech; Music sings; Arithmetic reckons; Geometry measures; Astronomy teaches us the stars.	Two Latin hexameters, composed to assist the memory in conveying to it some correct information.
Grata superveniet quae non sperabitur hora.		horatius	The hour of happiness will be the more welcome, the less it is expected.	Unexpected blessings are doubly acceptable.
Gratia ab officio quod mora tardat abest.		ovidius	Thanks are lost for a service tardily performed.	
Gratia gratiam parit.	proverb		Kindness produces kindness.	
Gratia, Musa tibi. Nam tu solatia praebes; Tu curae requies, tu medicina mali.		ovidius	Thanks to thee, my Muse. For it is thou that dost afford me solace; thou art a rest from care, a solace for my woes.	
Gratia placendi.			The delight of pleasing.	The happiness we ought to feel in making others happy.
Gratia pro rebus merito debetur inemtis.		ovidius	Thanks are justly due for things obtained without purchase.	
Gratiae expectativae.			Anticipated benefits.	Advantages in perspective.
Gratior et pulchro veniens in corpore virtus.		virgilius	Even virtue appears more lovely, when it inhabits a beautiful form.	
Gratis anhelans, multa agendo nihil agens.		phaedrus	Out of breath about nothing, with much ado doing nothing.	The poet's picture of the busy-bodies of Rome.
Gratis asseritur.			It is asserted, but not proved.	
Gratis dictum.			Said to no purpose.	Irrelevant to the present question.
Gratis poenitet esse probum.		ovidius	A man is sorry to be honest for nothing.	
Gratulor quod eum quem necesse erat diligere, qualiscunque esset, talem habiemus, ut libenter quoque diligamus.		cicero	I rejoice that he, whom, whatever his character might have been, I was bound to love, should prove himself such, that I can feel a pleasure in bestowing my affections on him.	A compliment paid by a son or a subject, who finds the object of his duteous respect equally that of his admiration.
Gratum est quod patriae civem populoque dedisti, Si facis ut patriae sit idoneus, utilis agris; Utilis et bellorum et pacis rebus agendis.		iunius iuvenalis	It deserves our gratitude that you have presented a citizen to your country and people, if you take care that he prove useful to the state, and of service to her lands; useful in transacting the affairs both of war and peace.	
Gratum hominem semper beneficium delectat; ingratum semel.		seneca	A benefit received is always delightful to a grateful man; to an ungrateful man, only at the time.	That is, at the moment when it is bestowed.
Grave nihil est homini quod fert necessitas.			Nothing is really heavy to a man, which necessity brings upon him.	
Grave paupertas malum est, et intolerabile, quae magnum domat populum.			The poverty which weighs down a great people is a grievous and intolerable evil.	
Grave pondus illum, magna nobilitas premit.		seneca	A grievous burden, his exalted rank weighs heavy on him.	
Grave senectus est hominibus pondus.			Old age is a heavy burden to man.	
Grave virus Munditiae pepulere.		horatius	Refinement expelled this offensive style.	Horace alludes to the coarse and rugged lines of the early Roman authors, which became improved by their communication with the Greeks.
Graviora quaedam sunt remedia periculis.		publilius syrus	Some remedies are worse than the disease.	This can be only said with reference to so-called remedies administered by quacks.
Gravis ira regum semper.		seneca	The anger of kings is always heavy.	Because they have the means of showing their displeasure.
Gravissimum est imperium consuetudinis.		publilius syrus	The empire of custom is most mighty.	The tyranny of fashion is a penalty inflicted on us in conjunction with the blessings of civilization. See Usus tyrannus est.
Grex totus in agris Unius scabie cadit, et porrigine porci.		iunius iuvenalis	The entire flock dies in the fields of the disease introduced by one, and the swine of the measles.	
Grex venalium.		suetonius	A venal throng.	An assembly whose votes are put up for sale.
Gustatus est sensus ex omnibus maxime voluptarius.		cicero	The sense of taste is the most exquisite of all.	Edere oportet ut vivas, &c.
Gutta cavat lapidem, consumitur annulus usu, Et teritur pressa vomer aduncus humo.		ovidius	The drop hollows out the stone, the ring is worn by use, and the curved ploughshare is rubbed away by the pressure of the earth.	
Gutta cavat lapidem non vi sed saepe cadendo.	proverb		Dripping water hollows the stone not by force, but by continually falling.	
Gutta fortunae prae dolio sapientiae.	proverb		A drop of fortune is worth a cask of wisdom.	
Habeas corpus.	law term		You are to bring up the body.	The English subject's writ of right. Where a person has been imprisoned, having offered sufficient bail, which has been refused though the case is a bailable one, the judges of the court of Chancery or the Queen's Bench may award this writ, for the discharge of the prisoner, on receiving bail.
Habeas corpus ad prosequendum.	law term		You are to bring up the body for the purpose of prosecuting.	A writ for the removal of a person for trial in the proper county.
Habeas corpus ad respondendum.	law term		You are to bring up the body to make answer.	A writ to remove a prisoner from the jurisdiction of a lower court to that of a higher one.
Fit sonus; inclamat comites, et lumina poscit.		ovidius	An uproar is the consequence; she summons her attendants, and calls for lights.	
Habeas corpus ad satisfaciendum.	law term		You are to bring up the body to satisfy.	A writ against a person in a lower court, where judgment has heen pronounced against him, to remove him to a superior court, that he may be charged with process of execution.
Flagrante bello.			While the war was raging.	
Habemus confitentem reum.		cicero	We have his own confession of his guilt.	
Fugiendo in media saepe ruitur fata.		livius	By precipitate flight we often rush into the very midst of destruction.	"Beware of desperate steps. The darkest day (Live till to-morrow) will have pass'd away."" Cowper."
Flagranti delicto.Flagranti delicto.			In the commission of the offence.	In the very act.
Habemus luxuriam atque avaritiam, publice egestatem, privatim opulentiam.		sallustius	We have luxury and avarice, public want, private opulence.	Cato's description of Rome in the latter days of the republic.
Habent insidias hominis blanditiae mali.		phaedrus	The fair words of a wicked man are fraught with treachery.	
Flamma fumo est proxima.		plautus	Flame is near akin to smoke.	"So our proverb, ""Where there's smoke there's fire."" No rumour is without some foundation."
Fugit hora.			Time flies.	Lost moments can never be recovered.
Habeo senectuti magnam gratiam, quae mihi sermonis aviditatem auxit, potionis et cibi sustulit.		cicero	I owe many thanks to old age, which has increased my eagerness for conversation, and has diminished my hunger and thirst.	
Fugit improbus, ac me Sub cultro linquit.		horatius	The rogue runs away, and leaves me under the knife.	He deserts me in my danger, and leaves me to be sacrificed.
Flamma per incensas citius sedetur aristas.		propertius	Sooner might the flames be extinguished among the standing corn as it burns.	
Habere derelictui rem suam.		aulus gellius	To abandon one's affairs to ruin.	
Fugit irreparabile tempus.		virgilius	Time flies, never to be regained.	
Flare simul et sorbere haud facile est.		plautus	It is not easy to drink and whistle at the same moment.	We must not try to do two things at once.
Fuit Ilium.		virgilius	Ilium was.	"So said in reference to the former greatness of Ilium, or Troy, and the complete destruction which had befallen it. Commonly said of a thing long past. The expression may be appropriately applied to a man who is ""a wreck of his former self."""
Fuit ista quondam in hac republica virtus, ut viri fortes acerioribus suppliciis, civem perniciosum, quam hostem acerbissimum coercerent.		cicero	Virtue once prevailed so far in this republic, that our stern rulers would subject a vicious citizen to a more severe punishment than even the most inveterate enemy.	
Fulgente trahit constrictos gloria curru, Non minus ignotos generosis.		horatius	Glory drags along chained to her glittering car, the humble no less than those of noble birth.	
Flebile ludibrium.			A deplorable mockery.	Such, for instance, as a woman of seventy marrying a boy of fourteen. [See an instance in the Gentleman's Magazine, vol. i. p. 177.]
Habere facias possessionem.	law term		You are to put in possession.	A writ commanding the sheriff to give seisin of land recovered in ejectment.
Flebit, et insignis tota cantabitur urbe.		horatius	He shall lament it, and his name shall be sung the whole city through.	The poet threatens his foes with this punishment.
Habet aliquid ex iniquo omne magnum exemplum, quod contra singulos, utilitate publica, rependitur.		tacitus	Every great example [of punishment] has in it some injustice, but, though it affects individuals, it is balanced by the promotion of the public good.	
Flectere si nequeo superos, Acheronta movebo.		virgilius	If I cannot influence the gods of heaven, I will stir up Acheron itself.	I will avail myself of every possible resource to accomplish my purpose. Words which are only likely to proceed from the mouth of a vindictive and unscrupulous opponent.
Fumos vendere.		marcus valerius martialis	To sell smoke.	"To barter for money that which is worth nothing. A favourite of the emperor Alexander Severus was in the habit of selling his pretended interest at court, as ""smoke."" The emperor, on hearing of it, had him smoked to death, and proclamation made to the effect that ""the seller of smoke was punished by smoke."""
Habet et musca splenem.	proverb		A fly even has its anger.	A warning that no enemy is to be despised, however weak and insignificant. See Inest et, &c.
Fumum et opes, strepitumque Romae.		iunius iuvenalis	The smoke, the show, the rattle of the town.	
Habet iracundia hoc mali, non vult regi.		seneca	Anger has this evil, that it will not be governed.	
Flet victus, victor interiit.			The conquered mourns, the conqueror is undone.	A not uncommon result, both in war and law. This saying took its rise from the battle of Chaeronea, which caused the destruction of both the Theban and the Athenian power.
Habet natura, ut aliarum omnium rerum, sic vivendi modum; senectus autem peractio aetatis est tanquam fabulae, cujus defatigationem fugere debemus, praesertim adjuncta satietate.		cicero	As in all other things, so in living, nature has prescribed to us a mean; but old age, like the last act of a play, is the closing of the scene, in which we ought to avoid too much fatigue, especially if we indulge to satiety.	
Floriferis ut apes in saltibus omnia libant.		lucretius	As bees sip of every juice in the flowery meads.	Every one who makes selections tries to do this, the man of taste alone succeeds.
Habet salem.			He has wit.	He is a wag.
